Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:333: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:410: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-25.0, 1.0<z \leq2.0$
Pixels masked by MC but not already by selfunc: 3840
G20.5_zmin1.0zmax2.0_Lmax-25.0: 0.33              336125 vs 502242
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
18it [00:08,  2.14it/s, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -439.574 <    inf | logz: -446.113 +/-  0.108 | dlogz: 502.599 >  0.010]
19it [00:08,  2.11it/s, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -437.409 <    inf | logz: -444.102 +/-  0.111 | dlogz: 501.113 >  0.010]
20it [00:09,  2.18it/s, bound: 0 | nc: 1 | ncall: 520 | eff(%):  3.846 | loglstar:   -inf < -436.001 <    inf | logz: -442.504 +/-  0.108 | dlogz: 499.100 >  0.010]
21it [00:10,  1.65it/s, bound: 0 | nc: 2 | ncall: 522 | eff(%):  4.023 | loglstar:   -inf < -430.704 <    inf | logz: -437.641 +/-  0.117 | dlogz: 497.499 >  0.010]
22it [00:10,  1.80it/s, bound: 0 | nc: 1 | ncall: 523 | eff(%):  4.207 | loglstar:   -inf < -430.661 <    inf | logz: -436.538 +/-  0.108 | dlogz: 492.635 >  0.010]
23it [00:11,  1.92it/s, bound: 0 | nc: 1 | ncall: 524 | eff(%):  4.389 | loglstar:   -inf < -429.081 <    inf | logz: -435.441 +/-  0.106 | dlogz: 491.529 >  0.010]
24it [00:11,  1.93it/s, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.571 | loglstar:   -inf < -428.456 <    inf | logz: -434.493 +/-  0.104 | dlogz: 490.431 >  0.010]
25it [00:12,  1.96it/s, bound: 0 | nc: 1 | ncall: 526 | eff(%):  4.753 | loglstar:   -inf < -426.077 <    inf | logz: -432.753 +/-  0.109 | dlogz: 489.480 >  0.010]
26it [00:12,  2.07it/s, bound: 0 | nc: 1 | ncall: 527 | eff(%):  4.934 | loglstar:   -inf < -425.522 <    inf | logz: -431.633 +/-  0.105 | dlogz: 487.738 >  0.010]
27it [00:13,  2.03it/s, bound: 0 | nc: 1 | ncall: 528 | eff(%):  5.114 | loglstar:   -inf < -425.192 <    inf | logz: -430.930 +/-  0.102 | dlogz: 486.617 >  0.010]
28it [00:13,  2.01it/s, bound: 0 | nc: 1 | ncall: 529 | eff(%):  5.293 | loglstar:   -inf < -425.164 <    inf | logz: -430.463 +/-  0.100 | dlogz: 485.911 >  0.010]
29it [00:14,  1.98it/s, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.472 | loglstar:   -inf < -425.103 <    inf | logz: -430.134 +/-  0.097 | dlogz: 485.442 >  0.010]
30it [00:14,  1.63it/s, bound: 0 | nc: 1 | ncall: 531 | eff(%):  5.650 | loglstar:   -inf < -418.632 <    inf | logz: -425.587 +/-  0.117 | dlogz: 485.111 >  0.010]
31it [00:15,  1.46it/s, bound: 0 | nc: 1 | ncall: 532 | eff(%):  5.827 | loglstar:   -inf < -415.179 <    inf | logz: -422.087 +/-  0.116 | dlogz: 480.563 >  0.010]
32it [00:16,  1.47it/s, bound: 0 | nc: 1 | ncall: 533 | eff(%):  6.004 | loglstar:   -inf < -414.710 <    inf | logz: -420.852 +/-  0.108 | dlogz: 477.060 >  0.010]
33it [00:16,  1.56it/s, bound: 0 | nc: 1 | ncall: 534 | eff(%):  6.180 | loglstar:   -inf < -414.646 <    inf | logz: -420.210 +/-  0.103 | dlogz: 475.824 >  0.010]
34it [00:17,  1.68it/s, bound: 0 | nc: 1 | ncall: 535 | eff(%):  6.355 | loglstar:   -inf < -412.872 <    inf | logz: -419.224 +/-  0.104 | dlogz: 475.180 >  0.010]
