Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:332: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}$'.format(args.Lmax)) #L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:418: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(args.Lmax, args.zmin, args.zmax), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-26.0$
0.0<z<=1.0
Pixels masked by MC but not already by selfunc: 131
G20.5_zmin0.0zmax1.0_Lmax-26.0: 0.52              6079 vs 12557
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:146: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
15it [00:04,  3.10it/s, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.913 | loglstar:   -inf < -377.659 <    inf | logz: -383.477 +/-  0.101 | dlogz: 374.972 >  0.010]
16it [00:05,  3.10it/s, bound: 0 | nc: 1 | ncall: 516 | eff(%):  3.101 | loglstar:   -inf < -376.099 <    inf | logz: -382.420 +/-  0.104 | dlogz: 374.305 >  0.010]
17it [00:05,  3.10it/s, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.288 | loglstar:   -inf < -375.080 <    inf | logz: -381.313 +/-  0.104 | dlogz: 373.247 >  0.010]
18it [00:05,  3.10it/s, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -373.322 <    inf | logz: -379.845 +/-  0.107 | dlogz: 372.137 >  0.010]
19it [00:06,  3.10it/s, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -371.375 <    inf | logz: -378.013 +/-  0.109 | dlogz: 370.667 >  0.010]
20it [00:06,  3.10it/s, bound: 0 | nc: 1 | ncall: 520 | eff(%):  3.846 | loglstar:   -inf < -369.046 <    inf | logz: -375.786 +/-  0.112 | dlogz: 368.833 >  0.010]
21it [00:06,  3.10it/s, bound: 0 | nc: 1 | ncall: 521 | eff(%):  4.031 | loglstar:   -inf < -366.193 <    inf | logz: -373.022 +/-  0.114 | dlogz: 366.605 >  0.010]
22it [00:07,  3.10it/s, bound: 0 | nc: 1 | ncall: 522 | eff(%):  4.215 | loglstar:   -inf < -363.607 <    inf | logz: -370.409 +/-  0.113 | dlogz: 363.838 >  0.010]
23it [00:07,  3.10it/s, bound: 0 | nc: 1 | ncall: 523 | eff(%):  4.398 | loglstar:   -inf < -359.103 <    inf | logz: -366.033 +/-  0.117 | dlogz: 361.224 >  0.010]
24it [00:07,  3.10it/s, bound: 0 | nc: 1 | ncall: 524 | eff(%):  4.580 | loglstar:   -inf < -357.555 <    inf | logz: -364.152 +/-  0.111 | dlogz: 356.845 >  0.010]
