Starting batch job

663it [07:34,  1.16s/it, bound: 0 | nc: 2 | ncall: 1875 | eff(%): 35.360 | loglstar:   -inf < 15.849 <    inf | logz:  9.414 +/-  0.102 | dlogz: 54.158 >  0.010]Submitted batch job 37223164
Submitted batch job 37223165
Submitted batch job 37223166

664it [07:36,  1.50s/it, bound: 0 | nc: 7 | ncall: 1882 | eff(%): 35.282 | loglstar:   -inf < 16.322 <    inf | logz:  9.772 +/-  0.103 | dlogz: 53.885 >  0.010]
665it [07:37,  1.25s/it, bound: 0 | nc: 2 | ncall: 1884 | eff(%): 35.297 | loglstar:   -inf < 16.401 <    inf | logz: 10.098 +/-  0.103 | dlogz: 53.525 >  0.010]
666it [07:38,  1.37s/it, bound: 0 | nc: 5 | ncall: 1889 | eff(%): 35.257 | loglstar:   -inf < 16.571 <    inf | logz: 10.372 +/-  0.103 | dlogz: 53.197 >  0.010]
667it [07:39,  1.06s/it, bound: 0 | nc: 1 | ncall: 1890 | eff(%): 35.291 | loglstar:   -inf < 16.670 <    inf | logz: 10.614 +/-  0.103 | dlogz: 52.921 >  0.010]Submitted batch job 37223167

668it [07:43,  2.16s/it, bound: 0 | nc: 14 | ncall: 1904 | eff(%): 35.084 | loglstar:   -inf < 17.109 <    inf | logz: 10.866 +/-  0.103 | dlogz: 52.677 >  0.010]Submitted batch job 37223169

669it [07:44,  1.81s/it, bound: 0 | nc: 3 | ncall: 1907 | eff(%): 35.081 | loglstar:   -inf < 17.343 <    inf | logz: 11.133 +/-  0.102 | dlogz: 52.423 >  0.010] 
670it [07:47,  1.96s/it, bound: 0 | nc: 7 | ncall: 1914 | eff(%): 35.005 | loglstar:   -inf < 17.415 <    inf | logz: 11.372 +/-  0.102 | dlogz: 52.155 >  0.010]
671it [07:48,  1.67s/it, bound: 0 | nc: 3 | ncall: 1917 | eff(%): 35.003 | loglstar:   -inf < 17.948 <    inf | logz: 11.633 +/-  0.102 | dlogz: 51.913 >  0.010]Submitted batch job 37223170

672it [07:49,  1.46s/it, bound: 0 | nc: 3 | ncall: 1920 | eff(%): 35.000 | loglstar:   -inf < 18.721 <    inf | logz: 12.009 +/-  0.103 | dlogz: 51.650 >  0.010]Submitted batch job 37223172

673it [07:50,  1.32s/it, bound: 0 | nc: 3 | ncall: 1923 | eff(%): 34.997 | loglstar:   -inf < 18.835 <    inf | logz: 12.384 +/-  0.104 | dlogz: 51.272 >  0.010]Submitted batch job 37223173

674it [07:54,  2.31s/it, bound: 0 | nc: 14 | ncall: 1937 | eff(%): 34.796 | loglstar:   -inf < 19.475 <    inf | logz: 12.774 +/-  0.105 | dlogz: 50.895 >  0.010]
675it [07:55,  1.91s/it, bound: 0 | nc: 3 | ncall: 1940 | eff(%): 34.794 | loglstar:   -inf < 19.530 <    inf | logz: 13.135 +/-  0.105 | dlogz: 50.503 >  0.010] Submitted batch job 37223174

676it [07:56,  1.54s/it, bound: 0 | nc: 2 | ncall: 1942 | eff(%): 34.809 | loglstar:   -inf < 21.296 <    inf | logz: 13.859 +/-  0.110 | dlogz: 50.141 >  0.010]
677it [07:56,  1.18s/it, bound: 0 | nc: 1 | ncall: 1943 | eff(%): 34.843 | loglstar:   -inf < 21.301 <    inf | logz: 14.490 +/-  0.110 | dlogz: 49.415 >  0.010]
678it [07:57,  1.02s/it, bound: 0 | nc: 2 | ncall: 1945 | eff(%): 34.859 | loglstar:   -inf < 21.681 <    inf | logz: 14.945 +/-  0.109 | dlogz: 48.781 >  0.010]Submitted batch job 37223175

679it [07:59,  1.31s/it, bound: 0 | nc: 6 | ncall: 1951 | eff(%): 34.803 | loglstar:   -inf < 21.987 <    inf | logz: 15.358 +/-  0.108 | dlogz: 48.324 >  0.010]
680it [08:00,  1.21s/it, bound: 0 | nc: 3 | ncall: 1954 | eff(%): 34.800 | loglstar:   -inf < 22.111 <    inf | logz: 15.705 +/-  0.107 | dlogz: 47.909 >  0.010]Submitted batch job 37223177

681it [08:04,  2.03s/it, bound: 0 | nc: 12 | ncall: 1966 | eff(%): 34.639 | loglstar:   -inf < 22.131 <    inf | logz: 15.978 +/-  0.106 | dlogz: 47.560 >  0.010]
682it [08:04,  1.62s/it, bound: 0 | nc: 2 | ncall: 1968 | eff(%): 34.654 | loglstar:   -inf < 22.134 <    inf | logz: 16.194 +/-  0.105 | dlogz: 47.285 >  0.010] Submitted batch job 37223179

683it [08:06,  1.53s/it, bound: 0 | nc: 4 | ncall: 1972 | eff(%): 34.635 | loglstar:   -inf < 22.157 <    inf | logz: 16.373 +/-  0.104 | dlogz: 47.067 >  0.010]
684it [08:06,  1.17s/it, bound: 0 | nc: 1 | ncall: 1973 | eff(%): 34.668 | loglstar:   -inf < 22.261 <    inf | logz: 16.534 +/-  0.103 | dlogz: 46.886 >  0.010]
685it [08:07,  1.12s/it, bound: 0 | nc: 3 | ncall: 1976 | eff(%): 34.666 | loglstar:   -inf < 22.284 <    inf | logz: 16.681 +/-  0.102 | dlogz: 46.723 >  0.010]
686it [08:08,  1.02it/s, bound: 0 | nc: 2 | ncall: 1978 | eff(%): 34.681 | loglstar:   -inf < 22.287 <    inf | logz: 16.810 +/-  0.101 | dlogz: 46.574 >  0.010]
687it [08:08,  1.27it/s, bound: 0 | nc: 1 | ncall: 1979 | eff(%): 34.715 | loglstar:   -inf < 22.288 <    inf | logz: 16.925 +/-  0.101 | dlogz: 46.443 >  0.010]
688it [08:10,  1.04s/it, bound: 0 | nc: 5 | ncall: 1984 | eff(%): 34.677 | loglstar:   -inf < 22.295 <    inf | logz: 17.028 +/-  0.100 | dlogz: 46.327 >  0.010]
689it [08:10,  1.21it/s, bound: 0 | nc: 1 | ncall: 1985 | eff(%): 34.710 | loglstar:   -inf < 22.315 <    inf | logz: 17.122 +/-  0.099 | dlogz: 46.222 >  0.010]
690it [08:11,  1.29it/s, bound: 0 | nc: 2 | ncall: 1987 | eff(%): 34.726 | loglstar:   -inf < 22.367 <    inf | logz: 17.211 +/-  0.099 | dlogz: 46.125 >  0.010]
