Starting batch job
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
M_i<=-20.0
Pixels masked by MC but not already by selfunc: 2468
G20.5_zmin0.0zmax1.0_Lmax-20.0: 0.33              218365 vs 324336
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:288: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
39it [00:13,  3.01it/s, bound: 0 | nc: 1 | ncall: 540 | eff(%):  7.222 | loglstar:   -inf < -398.841 <    inf | logz: -405.813 +/-  0.117 | dlogz: 459.387 >  0.010]
40it [00:13,  3.01it/s, bound: 0 | nc: 1 | ncall: 541 | eff(%):  7.394 | loglstar:   -inf < -398.475 <    inf | logz: -404.588 +/-  0.108 | dlogz: 454.702 >  0.010]
41it [00:14,  3.01it/s, bound: 0 | nc: 1 | ncall: 542 | eff(%):  7.565 | loglstar:   -inf < -397.535 <    inf | logz: -403.679 +/-  0.105 | dlogz: 453.475 >  0.010]
42it [00:14,  3.01it/s, bound: 0 | nc: 1 | ncall: 543 | eff(%):  7.735 | loglstar:   -inf < -396.361 <    inf | logz: -402.644 +/-  0.104 | dlogz: 452.564 >  0.010]
43it [00:14,  3.01it/s, bound: 0 | nc: 1 | ncall: 544 | eff(%):  7.904 | loglstar:   -inf < -394.035 <    inf | logz: -400.769 +/-  0.110 | dlogz: 451.528 >  0.010]
44it [00:15,  3.00it/s, bound: 0 | nc: 1 | ncall: 545 | eff(%):  8.073 | loglstar:   -inf < -391.484 <    inf | logz: -398.315 +/-  0.113 | dlogz: 449.650 >  0.010]
45it [00:15,  3.00it/s, bound: 0 | nc: 1 | ncall: 546 | eff(%):  8.242 | loglstar:   -inf < -391.368 <    inf | logz: -397.286 +/-  0.107 | dlogz: 447.194 >  0.010]
46it [00:15,  3.00it/s, bound: 0 | nc: 1 | ncall: 547 | eff(%):  8.410 | loglstar:   -inf < -391.053 <    inf | logz: -396.697 +/-  0.103 | dlogz: 446.164 >  0.010]
47it [00:16,  3.00it/s, bound: 0 | nc: 1 | ncall: 548 | eff(%):  8.577 | loglstar:   -inf < -383.465 <    inf | logz: -390.464 +/-  0.118 | dlogz: 445.572 >  0.010]
48it [00:16,  2.98it/s, bound: 0 | nc: 1 | ncall: 549 | eff(%):  8.743 | loglstar:   -inf < -380.598 <    inf | logz: -387.494 +/-  0.115 | dlogz: 439.338 >  0.010]
