Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-26.0, 0.0<z \leq1.0$
Pixels masked by MC but not already by selfunc: 131
G20.5_zmin0.0zmax1.0_Lmax-26.0: 0.52              6079 vs 12557
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
12it [00:05,  2.25it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.344 | loglstar:   -inf < -361.600 <    inf | logz: -367.396 +/-  0.104 | dlogz: 359.096 >  0.010]
13it [00:05,  2.24it/s, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.534 | loglstar:   -inf < -358.691 <    inf | logz: -365.422 +/-  0.111 | dlogz: 358.196 >  0.010]
14it [00:06,  2.25it/s, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.724 | loglstar:   -inf < -357.482 <    inf | logz: -363.908 +/-  0.108 | dlogz: 356.220 >  0.010]
15it [00:06,  2.26it/s, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.913 | loglstar:   -inf < -355.408 <    inf | logz: -362.056 +/-  0.110 | dlogz: 354.704 >  0.010]
16it [00:07,  2.26it/s, bound: 0 | nc: 1 | ncall: 516 | eff(%):  3.101 | loglstar:   -inf < -354.492 <    inf | logz: -360.771 +/-  0.106 | dlogz: 352.850 >  0.010]
17it [00:07,  2.26it/s, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.288 | loglstar:   -inf < -350.051 <    inf | logz: -356.959 +/-  0.116 | dlogz: 351.563 >  0.010]
18it [00:08,  2.26it/s, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -348.877 <    inf | logz: -355.333 +/-  0.109 | dlogz: 347.749 >  0.010]
19it [00:08,  2.26it/s, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -342.052 <    inf | logz: -348.995 +/-  0.118 | dlogz: 346.121 >  0.010]
20it [00:10,  1.19it/s, bound: 0 | nc: 4 | ncall: 523 | eff(%):  3.824 | loglstar:   -inf < -335.881 <    inf | logz: -342.825 +/-  0.118 | dlogz: 339.781 >  0.010]
21it [00:10,  1.39it/s, bound: 0 | nc: 1 | ncall: 524 | eff(%):  4.008 | loglstar:   -inf < -333.014 <    inf | logz: -339.856 +/-  0.114 | dlogz: 333.609 >  0.010]
