Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
$M_i\geq-26.0, 3.0<z \leq4.6$
Pixels masked by MC but not already by selfunc: 307
G20.5_zmin3.0zmax4.6_Lmax-26.0: 0.23              28043 vs 36458
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  3.05it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -2743.165 <    inf | logz: -2750.075 +/-  0.117 | dlogz:    inf >  0.010]
38it [00:13,  3.00it/s, bound: 0 | nc: 1 | ncall: 540 | eff(%):  7.037 | loglstar:   -inf < -260.422 <    inf | logz: -267.406 +/-  0.118 | dlogz: 291.417 >  0.010]
39it [00:13,  3.01it/s, bound: 0 | nc: 1 | ncall: 541 | eff(%):  7.209 | loglstar:   -inf < -257.010 <    inf | logz: -263.932 +/-  0.116 | dlogz: 282.397 >  0.010]
40it [00:13,  3.02it/s, bound: 0 | nc: 1 | ncall: 542 | eff(%):  7.380 | loglstar:   -inf < -250.678 <    inf | logz: -257.662 +/-  0.118 | dlogz: 278.921 >  0.010]
41it [00:14,  3.03it/s, bound: 0 | nc: 1 | ncall: 543 | eff(%):  7.551 | loglstar:   -inf < -249.345 <    inf | logz: -255.911 +/-  0.110 | dlogz: 272.650 >  0.010]
42it [00:14,  3.03it/s, bound: 0 | nc: 1 | ncall: 544 | eff(%):  7.721 | loglstar:   -inf < -245.578 <    inf | logz: -252.513 +/-  0.116 | dlogz: 270.896 >  0.010]
43it [00:14,  3.03it/s, bound: 0 | nc: 1 | ncall: 545 | eff(%):  7.890 | loglstar:   -inf < -241.723 <    inf | logz: -248.674 +/-  0.116 | dlogz: 267.496 >  0.010]
44it [00:15,  3.03it/s, bound: 0 | nc: 1 | ncall: 546 | eff(%):  8.059 | loglstar:   -inf < -241.690 <    inf | logz: -247.594 +/-  0.108 | dlogz: 263.655 >  0.010]
45it [00:15,  3.04it/s, bound: 0 | nc: 1 | ncall: 547 | eff(%):  8.227 | loglstar:   -inf < -225.990 <    inf | logz: -232.988 +/-  0.118 | dlogz: 262.573 >  0.010]
46it [00:15,  3.04it/s, bound: 0 | nc: 1 | ncall: 548 | eff(%):  8.394 | loglstar:   -inf < -223.114 <    inf | logz: -230.007 +/-  0.115 | dlogz: 247.965 >  0.010]
47it [00:16,  3.04it/s, bound: 0 | nc: 1 | ncall: 549 | eff(%):  8.561 | loglstar:   -inf < -222.868 <    inf | logz: -228.894 +/-  0.107 | dlogz: 244.982 >  0.010]
48it [00:16,  3.04it/s, bound: 0 | nc: 1 | ncall: 550 | eff(%):  8.727 | loglstar:   -inf < -221.315 <    inf | logz: -227.745 +/-  0.106 | dlogz: 243.867 >  0.010]
49it [00:16,  3.04it/s, bound: 0 | nc: 1 | ncall: 551 | eff(%):  8.893 | loglstar:   -inf < -217.869 <    inf | logz: -224.790 +/-  0.115 | dlogz: 242.716 >  0.010]
50it [00:17,  3.04it/s, bound: 0 | nc: 1 | ncall: 552 | eff(%):  9.058 | loglstar:   -inf < -212.849 <    inf | logz: -219.843 +/-  0.118 | dlogz: 239.759 >  0.010]
51it [00:17,  3.04it/s, bound: 0 | nc: 1 | ncall: 553 | eff(%):  9.222 | loglstar:   -inf < -210.501 <    inf | logz: -217.334 +/-  0.114 | dlogz: 234.810 >  0.010]
52it [00:17,  3.04it/s, bound: 0 | nc: 1 | ncall: 554 | eff(%):  9.386 | loglstar:   -inf < -205.387 <    inf | logz: -212.386 +/-  0.118 | dlogz: 232.299 >  0.010]
53it [00:18,  3.04it/s, bound: 0 | nc: 1 | ncall: 555 | eff(%):  9.550 | loglstar:   -inf < -205.356 <    inf | logz: -211.287 +/-  0.108 | dlogz: 227.349 >  0.010]
54it [00:18,  3.04it/s, bound: 0 | nc: 1 | ncall: 556 | eff(%):  9.712 | loglstar:   -inf < -201.085 <    inf | logz: -208.047 +/-  0.116 | dlogz: 226.248 >  0.010]
55it [00:18,  3.04it/s, bound: 0 | nc: 1 | ncall: 557 | eff(%):  9.874 | loglstar:   -inf < -198.095 <    inf | logz: -205.015 +/-  0.115 | dlogz: 223.006 >  0.010]
56it [00:19,  3.04it/s, bound: 0 | nc: 1 | ncall: 558 | eff(%): 10.036 | loglstar:   -inf < -186.481 <    inf | logz: -193.500 +/-  0.118 | dlogz: 219.972 >  0.010]
57it [00:19,  3.04it/s, bound: 0 | nc: 1 | ncall: 559 | eff(%): 10.197 | loglstar:   -inf < -185.865 <    inf | logz: -192.154 +/-  0.109 | dlogz: 208.456 >  0.010]
58it [00:19,  3.04it/s, bound: 0 | nc: 1 | ncall: 560 | eff(%): 10.357 | loglstar:   -inf < -181.958 <    inf | logz: -188.921 +/-  0.116 | dlogz: 207.107 >  0.010]
