Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-20.0, 3.0<z \leq4.6$
Pixels masked by MC but not already by selfunc: 307
G20.5_zmin3.0zmax4.6_Lmax-20.0: 0.23              28043 vs 36458
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
18it [02:06,  7.01s/it, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -308.246 <    inf | logz: -315.190 +/-  0.118 | dlogz: 339.966 >  0.010]
19it [02:13,  7.01s/it, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -301.544 <    inf | logz: -308.487 +/-  0.118 | dlogz: 330.231 >  0.010]
20it [02:27,  9.11s/it, bound: 0 | nc: 2 | ncall: 521 | eff(%):  3.839 | loglstar:   -inf < -299.961 <    inf | logz: -306.564 +/-  0.111 | dlogz: 323.527 >  0.010]
21it [02:34,  8.49s/it, bound: 0 | nc: 1 | ncall: 522 | eff(%):  4.023 | loglstar:   -inf < -295.350 <    inf | logz: -302.276 +/-  0.117 | dlogz: 321.602 >  0.010]
22it [02:41,  8.04s/it, bound: 0 | nc: 1 | ncall: 523 | eff(%):  4.207 | loglstar:   -inf < -294.136 <    inf | logz: -300.617 +/-  0.110 | dlogz: 317.312 >  0.010]
23it [02:48,  7.73s/it, bound: 0 | nc: 1 | ncall: 524 | eff(%):  4.389 | loglstar:   -inf < -281.793 <    inf | logz: -288.747 +/-  0.118 | dlogz: 315.651 >  0.010]
24it [02:55,  7.51s/it, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.571 | loglstar:   -inf < -274.789 <    inf | logz: -281.743 +/-  0.118 | dlogz: 303.779 >  0.010]
25it [03:02,  7.36s/it, bound: 0 | nc: 1 | ncall: 526 | eff(%):  4.753 | loglstar:   -inf < -270.131 <    inf | logz: -277.070 +/-  0.117 | dlogz: 296.772 >  0.010]
26it [03:09,  7.25s/it, bound: 0 | nc: 1 | ncall: 527 | eff(%):  4.934 | loglstar:   -inf < -268.812 <    inf | logz: -275.340 +/-  0.110 | dlogz: 292.098 >  0.010]
27it [03:16,  7.18s/it, bound: 0 | nc: 1 | ncall: 528 | eff(%):  5.114 | loglstar:   -inf < -265.672 <    inf | logz: -272.529 +/-  0.114 | dlogz: 290.365 >  0.010]
28it [03:23,  7.12s/it, bound: 0 | nc: 1 | ncall: 529 | eff(%):  5.293 | loglstar:   -inf < -263.028 <    inf | logz: -269.852 +/-  0.114 | dlogz: 287.553 >  0.010]
29it [03:30,  7.09s/it, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.472 | loglstar:   -inf < -262.488 <    inf | logz: -268.641 +/-  0.107 | dlogz: 284.873 >  0.010]
30it [03:37,  7.07s/it, bound: 0 | nc: 1 | ncall: 531 | eff(%):  5.650 | loglstar:   -inf < -262.401 <    inf | logz: -267.985 +/-  0.103 | dlogz: 283.660 >  0.010]
31it [03:44,  7.05s/it, bound: 0 | nc: 1 | ncall: 532 | eff(%):  5.827 | loglstar:   -inf < -259.285 <    inf | logz: -266.055 +/-  0.111 | dlogz: 283.003 >  0.010]
32it [03:51,  7.03s/it, bound: 0 | nc: 1 | ncall: 533 | eff(%):  6.004 | loglstar:   -inf < -251.232 <    inf | logz: -258.203 +/-  0.118 | dlogz: 281.070 >  0.010]
33it [03:58,  7.02s/it, bound: 0 | nc: 1 | ncall: 534 | eff(%):  6.180 | loglstar:   -inf < -250.167 <    inf | logz: -256.616 +/-  0.110 | dlogz: 273.217 >  0.010]
34it [04:05,  7.02s/it, bound: 0 | nc: 1 | ncall: 535 | eff(%):  6.355 | loglstar:   -inf < -248.522 <    inf | logz: -255.079 +/-  0.109 | dlogz: 271.628 >  0.010]
