Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:332: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}$'.format(args.Lmax)) #L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:418: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(args.Lmax, args.zmin, args.zmax), fontsize = 20, y = 1, x = 0.375)
$M_i\geq-20.0$
3.0<z<=4.6
Pixels masked by MC but not already by selfunc: 307
G20.5_zmin3.0zmax4.6_Lmax-20.0: 0.23              28043 vs 36458
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:146: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
12it [00:04,  2.76it/s, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.339 | loglstar:   -inf < -760.545 <    inf | logz: -767.477 +/-  0.118 | dlogz: 830.288 >  0.010]
13it [00:04,  2.78it/s, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.529 | loglstar:   -inf < -650.787 <    inf | logz: -657.721 +/-  0.118 | dlogz: 782.519 >  0.010]
14it [00:05,  2.79it/s, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.718 | loglstar:   -inf < -405.049 <    inf | logz: -411.985 +/-  0.118 | dlogz: 672.761 >  0.010]
15it [00:05,  2.81it/s, bound: 0 | nc: 1 | ncall: 516 | eff(%):  2.907 | loglstar:   -inf < -398.011 <    inf | logz: -404.947 +/-  0.118 | dlogz: 427.023 >  0.010]
16it [00:05,  2.82it/s, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.095 | loglstar:   -inf < -364.726 <    inf | logz: -371.666 +/-  0.118 | dlogz: 419.983 >  0.010]
17it [00:06,  2.83it/s, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.282 | loglstar:   -inf < -362.787 <    inf | logz: -369.475 +/-  0.112 | dlogz: 386.700 >  0.010]
18it [00:06,  2.83it/s, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.468 | loglstar:   -inf < -361.787 <    inf | logz: -368.119 +/-  0.107 | dlogz: 384.507 >  0.010]
19it [00:07,  2.83it/s, bound: 0 | nc: 1 | ncall: 520 | eff(%):  3.654 | loglstar:   -inf < -361.233 <    inf | logz: -367.209 +/-  0.104 | dlogz: 383.149 >  0.010]
20it [00:07,  2.83it/s, bound: 0 | nc: 1 | ncall: 521 | eff(%):  3.839 | loglstar:   -inf < -354.915 <    inf | logz: -361.856 +/-  0.117 | dlogz: 382.237 >  0.010]
21it [00:07,  2.83it/s, bound: 0 | nc: 1 | ncall: 522 | eff(%):  4.023 | loglstar:   -inf < -354.013 <    inf | logz: -360.367 +/-  0.109 | dlogz: 376.882 >  0.010]
22it [00:08,  2.83it/s, bound: 0 | nc: 1 | ncall: 523 | eff(%):  4.207 | loglstar:   -inf < -342.108 <    inf | logz: -349.059 +/-  0.118 | dlogz: 375.391 >  0.010]
23it [00:08,  2.83it/s, bound: 0 | nc: 1 | ncall: 524 | eff(%):  4.389 | loglstar:   -inf < -337.573 <    inf | logz: -344.505 +/-  0.117 | dlogz: 364.081 >  0.010]
24it [00:08,  2.83it/s, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.571 | loglstar:   -inf < -327.342 <    inf | logz: -334.298 +/-  0.118 | dlogz: 359.525 >  0.010]
25it [00:09,  2.83it/s, bound: 0 | nc: 1 | ncall: 526 | eff(%):  4.753 | loglstar:   -inf < -312.002 <    inf | logz: -318.960 +/-  0.118 | dlogz: 349.316 >  0.010]
26it [00:09,  2.83it/s, bound: 0 | nc: 1 | ncall: 527 | eff(%):  4.934 | loglstar:   -inf < -310.810 <    inf | logz: -317.295 +/-  0.110 | dlogz: 333.976 >  0.010]
27it [00:09,  2.84it/s, bound: 0 | nc: 1 | ncall: 528 | eff(%):  5.114 | loglstar:   -inf < -308.853 <    inf | logz: -315.501 +/-  0.110 | dlogz: 332.309 >  0.010]
28it [00:10,  2.77it/s, bound: 0 | nc: 1 | ncall: 529 | eff(%):  5.293 | loglstar:   -inf < -301.097 <    inf | logz: -308.060 +/-  0.118 | dlogz: 330.513 >  0.010]
29it [00:10,  2.69it/s, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.472 | loglstar:   -inf < -300.388 <    inf | logz: -306.668 +/-  0.109 | dlogz: 323.070 >  0.010]
30it [00:11,  2.63it/s, bound: 0 | nc: 1 | ncall: 531 | eff(%):  5.650 | loglstar:   -inf < -299.104 <    inf | logz: -305.468 +/-  0.106 | dlogz: 321.676 >  0.010]
