Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-26.0, 0.0<z \leq1.0$
Pixels masked by MC but not already by selfunc: 131
G20.5_zmin0.0zmax1.0_Lmax-26.0: 0.52              6079 vs 12557
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:125: RuntimeWarning: divide by zero encountered in divide
  return fduty/2*special.erfc(np.log(10**M_min/bins)/(np.sqrt(2)*np.log(10)*sigma))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
26it [03:07,  7.27s/it, bound: 0 | nc: 1 | ncall: 526 | eff(%):  4.943 | loglstar:   -inf < -5287.626 <    inf | logz: -5294.586 +/-  0.118 | dlogz: 5346.829 >  0.010]
27it [03:14,  7.29s/it, bound: 0 | nc: 1 | ncall: 527 | eff(%):  5.123 | loglstar:   -inf < -5180.716 <    inf | logz: -5187.677 +/-  0.118 | dlogz: 5285.095 >  0.010]
28it [03:21,  7.29s/it, bound: 0 | nc: 1 | ncall: 528 | eff(%):  5.303 | loglstar:   -inf < -5170.228 <    inf | logz: -5177.192 +/-  0.118 | dlogz: 5178.184 >  0.010]
29it [03:29,  7.28s/it, bound: 0 | nc: 1 | ncall: 529 | eff(%):  5.482 | loglstar:   -inf < -5156.277 <    inf | logz: -5163.243 +/-  0.118 | dlogz: 5167.696 >  0.010]
30it [03:36,  7.29s/it, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.660 | loglstar:   -inf < -5155.263 <    inf | logz: -5161.685 +/-  0.109 | dlogz: 5153.746 >  0.010]
31it [03:43,  7.28s/it, bound: 0 | nc: 1 | ncall: 531 | eff(%):  5.838 | loglstar:   -inf < -4986.194 <    inf | logz: -4993.164 +/-  0.118 | dlogz: 5152.186 >  0.010]
32it [03:50,  7.28s/it, bound: 0 | nc: 1 | ncall: 532 | eff(%):  6.015 | loglstar:   -inf < -4930.324 <    inf | logz: -4937.296 +/-  0.118 | dlogz: 4983.662 >  0.010]
33it [03:58,  7.29s/it, bound: 0 | nc: 1 | ncall: 533 | eff(%):  6.191 | loglstar:   -inf < -4821.444 <    inf | logz: -4828.418 +/-  0.118 | dlogz: 4927.793 >  0.010]
34it [04:05,  7.29s/it, bound: 0 | nc: 1 | ncall: 534 | eff(%):  6.367 | loglstar:   -inf < -4781.867 <    inf | logz: -4788.843 +/-  0.118 | dlogz: 4818.912 >  0.010]
35it [04:12,  7.28s/it, bound: 0 | nc: 1 | ncall: 535 | eff(%):  6.542 | loglstar:   -inf < -4674.247 <    inf | logz: -4681.225 +/-  0.118 | dlogz: 4779.335 >  0.010]
36it [04:19,  7.23s/it, bound: 0 | nc: 1 | ncall: 536 | eff(%):  6.716 | loglstar:   -inf < -4480.154 <    inf | logz: -4487.134 +/-  0.118 | dlogz: 4671.715 >  0.010]
37it [04:27,  7.19s/it, bound: 0 | nc: 1 | ncall: 537 | eff(%):  6.890 | loglstar:   -inf < -4288.035 <    inf | logz: -4295.017 +/-  0.118 | dlogz: 4477.623 >  0.010]
38it [04:34,  7.16s/it, bound: 0 | nc: 1 | ncall: 538 | eff(%):  7.063 | loglstar:   -inf < -3873.932 <    inf | logz: -3880.916 +/-  0.118 | dlogz: 4285.504 >  0.010]
